Date,time,Flight_index,ATRsum
2018-07-06,0,62,6.64298557085391e-23
2018-07-06,0,63,1.6903125823432438e-23
2018-07-06,0,64,1.1812415586851131e-24
2018-07-06,0,65,4.776630854403693e-23
2018-07-06,0,66,1.4623318819049052e-23
2018-07-06,0,67,4.771836199838476e-23
2018-07-06,0,68,7.431238386285182e-23
2018-07-06,0,69,3.6118806201739664e-23
2018-07-06,0,70,3.77593040539576e-23
2018-07-06,0,71,2.546570239252535e-23
2018-07-06,0,72,4.4211338165229274e-23
2018-07-06,0,73,7.803065442375563e-25
2018-07-06,0,74,4.364046243858544e-23
2018-07-06,0,75,8.312361100693774e-23
2018-07-06,0,76,6.833195684931796e-25
2018-07-06,0,77,3.925567209636629e-23
2018-07-06,0,78,9.286192707896593e-24
2018-07-06,0,79,1.471702057825199e-23
2018-07-06,0,80,5.249081189071395e-23
2018-07-06,0,81,5.1719506011269134e-23
2018-07-06,0,82,2.4366525903694228e-23
2018-07-06,0,83,2.3297402408860414e-23
2018-07-06,0,84,3.8697861455116663e-23
2018-07-06,0,85,7.537787717947951e-23
2018-07-06,0,86,7.108063329058455e-23
2018-07-06,0,87,1.868884503253711e-23
2018-07-06,0,88,4.143991819836306e-23
2018-07-06,0,89,1.958571026900272e-23
2018-07-06,0,90,3.2518667969681884e-23
2018-07-06,0,91,5.617374071959126e-23
2018-07-06,0,92,4.1469647435913945e-23
2018-07-06,0,93,4.0049104427763895e-24
2018-07-06,0,94,5.12034027320159e-23
2018-07-06,0,95,5.97066796920118e-23
2018-07-06,0,96,4.950810337931527e-23
2018-07-06,0,97,7.349007979863022e-23
2018-07-06,0,98,5.956556818569871e-23
2018-07-06,0,99,1.7780169547423016e-23
2018-07-07,0,0,3.5669220325792054e-23
2018-07-07,0,1,5.810626472827418e-23
2018-07-07,0,2,4.139074242027685e-23
2018-07-07,0,3,4.08908087717028e-23
2018-07-07,0,4,6.516920299064819e-23
2018-07-07,0,5,3.733250322379438e-23
2018-07-07,0,6,3.726856551479747e-23
2018-07-07,0,7,7.946952490569468e-23
2018-07-07,0,8,6.394619412650303e-23
2018-07-07,0,9,4.2717093606469897e-23
2018-07-07,0,10,2.9857644518073536e-23
2018-07-07,0,11,2.4225096711472785e-23
2018-07-07,0,12,3.1050036729882785e-23
2018-07-07,0,13,4.7487482903549044e-23
2018-07-07,0,14,2.019858585160781e-23
2018-07-07,0,15,3.5017772159280904e-23
2018-07-07,0,16,5.995631780412067e-23
2018-07-07,0,17,4.002289901418473e-23
2018-07-07,0,18,6.302334139628054e-23
